"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-06T12","PJM","PJM Interconnection, LLC","Demand",96946,"megawatthours",2020-01-06,12,2020,1,"Monday",0
"2020-01-06T11","PJM","PJM Interconnection, LLC","Demand",88656,"megawatthours",2020-01-06,11,2020,1,"Monday",0
"2020-01-06T10","PJM","PJM Interconnection, LLC","Demand",83592,"megawatthours",2020-01-06,10,2020,1,"Monday",0
"2020-01-06T09","PJM","PJM Interconnection, LLC","Demand",82526,"megawatthours",2020-01-06,9,2020,1,"Monday",0
"2020-01-06T08","PJM","PJM Interconnection, LLC","Demand",82532,"megawatthours",2020-01-06,8,2020,1,"Monday",0
"2020-01-06T07","PJM","PJM Interconnection, LLC","Demand",83312,"megawatthours",2020-01-06,7,2020,1,"Monday",0
"2020-01-06T06","PJM","PJM Interconnection, LLC","Demand",84180,"megawatthours",2020-01-06,6,2020,1,"Monday",0
"2020-01-06T05","PJM","PJM Interconnection, LLC","Demand",86520,"megawatthours",2020-01-06,5,2020,1,"Monday",0
"2020-01-06T04","PJM","PJM Interconnection, LLC","Demand",89844,"megawatthours",2020-01-06,4,2020,1,"Monday",0
"2020-01-06T03","PJM","PJM Interconnection, LLC","Demand",94012,"megawatthours",2020-01-06,3,2020,1,"Monday",0
"2020-01-06T02","PJM","PJM Interconnection, LLC","Demand",97012,"megawatthours",2020-01-06,2,2020,1,"Monday",0
"2020-01-06T01","PJM","PJM Interconnection, LLC","Demand",97742,"megawatthours",2020-01-06,1,2020,1,"Monday",0
"2020-01-06T00","PJM","PJM Interconnection, LLC","Demand",98057,"megawatthours",2020-01-06,0,2020,1,"Monday",0
"2020-01-07T23","PJM","PJM Interconnection, LLC","Demand",104220,"megawatthours",2020-01-07,23,2020,1,"Tuesday",0
"2020-01-07T22","PJM","PJM Interconnection, LLC","Demand",99242,"megawatthours",2020-01-07,22,2020,1,"Tuesday",0
"2020-01-07T21","PJM","PJM Interconnection, LLC","Demand",96814,"megawatthours",2020-01-07,21,2020,1,"Tuesday",0
"2020-01-07T20","PJM","PJM Interconnection, LLC","Demand",96612,"megawatthours",2020-01-07,20,2020,1,"Tuesday",0
"2020-01-07T19","PJM","PJM Interconnection, LLC","Demand",96750,"megawatthours",2020-01-07,19,2020,1,"Tuesday",0
"2020-01-07T18","PJM","PJM Interconnection, LLC","Demand",97183,"megawatthours",2020-01-07,18,2020,1,"Tuesday",0
"2020-01-07T17","PJM","PJM Interconnection, LLC","Demand",97977,"megawatthours",2020-01-07,17,2020,1,"Tuesday",0
"2020-01-07T16","PJM","PJM Interconnection, LLC","Demand",99043,"megawatthours",2020-01-07,16,2020,1,"Tuesday",0
"2020-01-07T15","PJM","PJM Interconnection, LLC","Demand",101389,"megawatthours",2020-01-07,15,2020,1,"Tuesday",0
"2020-01-07T14","PJM","PJM Interconnection, LLC","Demand",103807,"megawatthours",2020-01-07,14,2020,1,"Tuesday",0
"2020-01-07T13","PJM","PJM Interconnection, LLC","Demand",104418,"megawatthours",2020-01-07,13,2020,1,"Tuesday",0
"2020-01-07T12","PJM","PJM Interconnection, LLC","Demand",99423,"megawatthours",2020-01-07,12,2020,1,"Tuesday",0
"2020-01-07T11","PJM","PJM Interconnection, LLC","Demand",91504,"megawatthours",2020-01-07,11,2020,1,"Tuesday",0
"2020-01-07T10","PJM","PJM Interconnection, LLC","Demand",87073,"megawatthours",2020-01-07,10,2020,1,"Tuesday",0
"2020-01-07T09","PJM","PJM Interconnection, LLC","Demand",86498,"megawatthours",2020-01-07,9,2020,1,"Tuesday",0
"2020-01-07T08","PJM","PJM Interconnection, LLC","Demand",86336,"megawatthours",2020-01-07,8,2020,1,"Tuesday",0
"2020-01-07T07","PJM","PJM Interconnection, LLC","Demand",86282,"megawatthours",2020-01-07,7,2020,1,"Tuesday",0
"2020-01-07T06","PJM","PJM Interconnection, LLC","Demand",87312,"megawatthours",2020-01-07,6,2020,1,"Tuesday",0
"2020-01-07T05","PJM","PJM Interconnection, LLC","Demand",89646,"megawatthours",2020-01-07,5,2020,1,"Tuesday",0
"2020-01-07T04","PJM","PJM Interconnection, LLC","Demand",92694,"megawatthours",2020-01-07,4,2020,1,"Tuesday",0
"2020-01-07T03","PJM","PJM Interconnection, LLC","Demand",96933,"megawatthours",2020-01-07,3,2020,1,"Tuesday",0
"2020-01-07T02","PJM","PJM Interconnection, LLC","Demand",99635,"megawatthours",2020-01-07,2,2020,1,"Tuesday",0
"2020-01-07T01","PJM","PJM Interconnection, LLC","Demand",100812,"megawatthours",2020-01-07,1,2020,1,"Tuesday",0
"2020-01-07T00","PJM","PJM Interconnection, LLC","Demand",100927,"megawatthours",2020-01-07,0,2020,1,"Tuesday",0
"2020-01-08T23","PJM","PJM Interconnection, LLC","Demand",105613,"megawatthours",2020-01-08,23,2020,1,"Wednesday",0
"2020-01-08T22","PJM","PJM Interconnection, LLC","Demand",99620,"megawatthours",2020-01-08,22,2020,1,"Wednesday",0
"2020-01-08T21","PJM","PJM Interconnection, LLC","Demand",96348,"megawatthours",2020-01-08,21,2020,1,"Wednesday",0
"2020-01-08T20","PJM","PJM Interconnection, LLC","Demand",95857,"megawatthours",2020-01-08,20,2020,1,"Wednesday",0
"2020-01-08T19","PJM","PJM Interconnection, LLC","Demand",96700,"megawatthours",2020-01-08,19,2020,1,"Wednesday",0
"2020-01-08T18","PJM","PJM Interconnection, LLC","Demand",97232,"megawatthours",2020-01-08,18,2020,1,"Wednesday",0
"2020-01-08T17","PJM","PJM Interconnection, LLC","Demand",98599,"megawatthours",2020-01-08,17,2020,1,"Wednesday",0
"2020-01-08T16","PJM","PJM Interconnection, LLC","Demand",100662,"megawatthours",2020-01-08,16,2020,1,"Wednesday",0
"2020-01-08T15","PJM","PJM Interconnection, LLC","Demand",103278,"megawatthours",2020-01-08,15,2020,1,"Wednesday",0
"2020-01-08T14","PJM","PJM Interconnection, LLC","Demand",106000,"megawatthours",2020-01-08,14,2020,1,"Wednesday",0
"2020-01-08T13","PJM","PJM Interconnection, LLC","Demand",106387,"megawatthours",2020-01-08,13,2020,1,"Wednesday",0
"2020-01-08T12","PJM","PJM Interconnection, LLC","Demand",101442,"megawatthours",2020-01-08,12,2020,1,"Wednesday",0
"2020-01-08T11","PJM","PJM Interconnection, LLC","Demand",94027,"megawatthours",2020-01-08,11,2020,1,"Wednesday",0
"2020-01-08T10","PJM","PJM Interconnection, LLC","Demand",91025,"megawatthours",2020-01-08,10,2020,1,"Wednesday",0
"2020-01-08T09","PJM","PJM Interconnection, LLC","Demand",90345,"megawatthours",2020-01-08,9,2020,1,"Wednesday",0
"2020-01-08T08","PJM","PJM Interconnection, LLC","Demand",90063,"megawatthours",2020-01-08,8,2020,1,"Wednesday",0
"2020-01-08T07","PJM","PJM Interconnection, LLC","Demand",90126,"megawatthours",2020-01-08,7,2020,1,"Wednesday",0
"2020-01-08T06","PJM","PJM Interconnection, LLC","Demand",90768,"megawatthours",2020-01-08,6,2020,1,"Wednesday",0
"2020-01-08T05","PJM","PJM Interconnection, LLC","Demand",93115,"megawatthours",2020-01-08,5,2020,1,"Wednesday",0
"2020-01-08T04","PJM","PJM Interconnection, LLC","Demand",95996,"megawatthours",2020-01-08,4,2020,1,"Wednesday",0
"2020-01-08T03","PJM","PJM Interconnection, LLC","Demand",100171,"megawatthours",2020-01-08,3,2020,1,"Wednesday",0
"2020-01-08T02","PJM","PJM Interconnection, LLC","Demand",103445,"megawatthours",2020-01-08,2,2020,1,"Wednesday",0
"2020-01-08T01","PJM","PJM Interconnection, LLC","Demand",105059,"megawatthours",2020-01-08,1,2020,1,"Wednesday",0
"2020-01-08T00","PJM","PJM Interconnection, LLC","Demand",105974,"megawatthours",2020-01-08,0,2020,1,"Wednesday",0
"2020-01-09T23","PJM","PJM Interconnection, LLC","Demand",104272,"megawatthours",2020-01-09,23,2020,1,"Thursday",0
"2020-01-09T22","PJM","PJM Interconnection, LLC","Demand",99402,"megawatthours",2020-01-09,22,2020,1,"Thursday",0
"2020-01-09T21","PJM","PJM Interconnection, LLC","Demand",97390,"megawatthours",2020-01-09,21,2020,1,"Thursday",0
"2020-01-09T20","PJM","PJM Interconnection, LLC","Demand",96094,"megawatthours",2020-01-09,20,2020,1,"Thursday",0
"2020-01-09T19","PJM","PJM Interconnection, LLC","Demand",97087,"megawatthours",2020-01-09,19,2020,1,"Thursday",0
"2020-01-09T18","PJM","PJM Interconnection, LLC","Demand",98571,"megawatthours",2020-01-09,18,2020,1,"Thursday",0
"2020-01-09T17","PJM","PJM Interconnection, LLC","Demand",101097,"megawatthours",2020-01-09,17,2020,1,"Thursday",0
"2020-01-09T16","PJM","PJM Interconnection, LLC","Demand",104064,"megawatthours",2020-01-09,16,2020,1,"Thursday",0
"2020-01-09T15","PJM","PJM Interconnection, LLC","Demand",107615,"megawatthours",2020-01-09,15,2020,1,"Thursday",0
"2020-01-09T14","PJM","PJM Interconnection, LLC","Demand",111468,"megawatthours",2020-01-09,14,2020,1,"Thursday",0
"2020-01-09T13","PJM","PJM Interconnection, LLC","Demand",112911,"megawatthours",2020-01-09,13,2020,1,"Thursday",0
"2020-01-09T12","PJM","PJM Interconnection, LLC","Demand",108149,"megawatthours",2020-01-09,12,2020,1,"Thursday",0
"2020-01-09T11","PJM","PJM Interconnection, LLC","Demand",99731,"megawatthours",2020-01-09,11,2020,1,"Thursday",0
"2020-01-09T10","PJM","PJM Interconnection, LLC","Demand",95500,"megawatthours",2020-01-09,10,2020,1,"Thursday",0
"2020-01-09T09","PJM","PJM Interconnection, LLC","Demand",93613,"megawatthours",2020-01-09,9,2020,1,"Thursday",0
